actor,date,external_actors,text_en
AA,03/01/2022 14:01,Bangladesh,Interview with the Arakan Army Commander-in-Chief of the Bangladesh-based Prothom Alo News Agency
AA,26/03/2022 20:38,Bangladesh,"Congratulatory Statement to the Independence Day of the People's Republic of Bangladesh
 
 March 26, 2022
 
 Website Link: https://bit.ly/3IIH16y 
  #AAInfoDesk"
AA,02/07/2022 21:58,West,"Explanation about the recently released videos that include the confession on setting fire to the paddy rice straws from Kanda Muslim Village, Po Khaung Chaung Village Tract, Buthedaung Township
 
 June 30, 2022
 
 There was a case of setting fire on purpose to the paddy rice straws of Morjubi and Mamauk from Kanda Muslim Village, Po Khaung Chaung Village Tract, Buthedaung Township, State of Arakan at 7:45 PM, December 21, 2021. The Arakan People's Authority had been able to find out the true culprits timely after investigating the case.
 
 Despite knowing the real nature of the case after the investigation, our government did not disclose the evidence and kept it confidential at that time because we were concerned that it could lead to the ethnic and religious tensions under the exaggeration and manipulation of some people and organizations and wanted a small issue not to be a bigger one. We, therefore, just arrested and imprisoned some perpetrators in line with the existing law.
 
 The repetitive questionnaires towards our organization about this case confessed by the culprits in the videos have been reported these days. Besides, since there are partial and dishonest accusations against our organization and endeavors to mobilize the people for bad purposes and efforts to cover the crimes of real culprits by blaming others on this case, our organization has now decided to release timely these confidential pieces of evidence so that the public knows about the real contexts of the case.
 
 As there were some instances attempting to cover the truths and destroy the evidences behind the cases and events that happened in Arakan while misusing Human Rights politics by some groups of people, our organization has already sent the records, reports, and pieces of evidence about this case to the International Organizations, Embassies, and other suitable actors since the January of this year, 2022.
 
 After investigating this case thoroughly, it is evidently found that some people who are working with the international organizations for the sake of Human Rights are also deliberately pouring gasoline on the fire while systematically creating ethnic and religious conflict and instability in the region.
 
 Therefore, our organization must disclose this case unavoidably due to a situation in which some groups of people using the International Organizations under the banner of Human Rights are now consistently trying to destabilize peace and order in the region intentionally. 
  
 Info Desk
 United League of Arakan (ULA)
 
 Website Link: https://bit.ly/3NEnoiz 
 VK Link: https://vk.com/arakanarmyinfodesk"
AA,04/07/2022 22:25,Thailand,"A military council airstrike on a Rakhine Army camp on the Myanmar-Thailand border resulted in the deaths and injuries of some of our troops, and damage to a hospital, a garment factory, and other buildings.

July 4, 2022

On July 4, 2022, at 12:25 p.m., two military council jets bombed a Rakhine Army camp in the KNLA Brigade 5 area of ​​Karen State near the Myanmar-Thailand border, killing and injuring some of our troops near the camp.

In addition, some of the buildings inside the camp, including a hospital, a clinic, and a garment factory, were damaged. The two military council jets suddenly bombed their camp near the border from the Myanmar side (inside Karen State) and then entered Thai airspace.

News and Information
Arakan Army

Website Link: https://bit.ly/3yD57xA 
VK Link: https://vk.com/arakanarmyinfodesk"
AA,05/07/2022 13:29,Thailand,"On July 4, 2022, at 12:25 p.m., a military council jet fighter jet bombed an Arakan Army camp in the KNLA Brigade 5 area of ​​Karen State, near the Myanmar-Thailand border.

AA Info Desk
5/7/2022

Website Link: https://bit.ly/3ygsifZ 
VK Link: https://vk.com/arakanarmyinfodesk"
AA,02/09/2022 19:30,India,"The situation of Myeikwa residents and villagers fleeing towards the border due to the heavy artillery fire and bombing by the military council troops on the India-Myanmar border

September 2, 2022

Website Link: https://bit.ly/3Rylmmr 
VK Link: https://vk.com/arakanarmyinfodesk"
AA,04/09/2022 14:58,India,"The situation of Myeikwa villagers fleeing to India due to the heavy artillery fire and jet bombing by the military council troops on the India-Myanmar border

Website Link: https://bit.ly/3RyITn1 
VK Link: https://vk.com/arakanarmyinfodesk"
AA,19/09/2022 00:32,India,"Battle Report

September 18, 2022

The Myanmar Army has been conducting a joint ground and air offensive against the Arakan Army (ARA) in three locations, south and northeast of Nhamada village in Paletwa Township and northwest of Thathi Kone village, for almost a month.

The Arakan Army has cut off and surrounded some of the Myanmar Army’s military bases and movement lines in the Paletwa region of Rakhine State, and the Myanmar Army is making special efforts to open the supply, support, and transportation routes of their military bases and movement lines. Therefore, despite the fact that the Arakan Army is making strenuous efforts to prevent the blockade of their military bases and movement lines with air and artillery support almost every day, the Arakan Army continues to block the enemy.

The Arakan Army finally captured the enemy's camp near Milepost (40) on the Rakhine-Bengal border on August 31, 2022, after a month of blockade and siege. On September 10, 2022, it captured another camp of the 352nd Infantry Battalion. In addition, the enemy's Thandaung strategic camp was also blocked for more than three months, and the Arakan Army has now captured the Thandaung strategic camp. The enemy has already abandoned many of their camps on the border.

We are also blocking some other enemy camps in the same way. Among them is the ""Myeikwa camp"" near the India-Bangladesh-Myanmar tri-border.

At the same time, Paletwa Township, The Myanmar military has been attacking our troops about (2) kilometers south of Nhamada village for almost a month now, with fighting continuing daily in the surrounding area.

On September (18), 2022, from (1) 48:00 PM, the enemy launched three (3) fighter jets and two (2) helicopter gunships at our troops about (2) kilometers south of Nhamada village, alternating until (3) 3:00 PM. During today’s airstrike, three (3) fighter jets fired bombs and rockets (11) times, the most consecutive attacks of about (30) minutes without stopping. Then, two (2) helicopter gunships attacked the area for more than half an hour. The enemy’s artillery and ground-based artillery also continued to fire at the area. Therefore, our side fired back with heavy weapons at the Mee Wa strategic position.

The enemy has launched ground attacks on the area with heavy weapons and air support (7) times, but the Arakan Army soldiers continue to withstand the enemy's attacks with great courage, strong fighting spirit, obedience to orders, and good courage.

We would like to pay tribute to the Arakan soldiers who are fighting bravely and with great obedience to orders.

News and Information
Arakan Army

Website Link: https://bit.ly/3Uv4bEC 
VK Link: https://vk.com/arakanarmyinfodesk"
AA,24/10/2022 18:23,China,"Congratulatory Messages from the Three Fraternal Alliances on the Successful Holding of the 20th National Congress of the Communist Party of China

October 24, 2022

VK Link: https://vk.com/mndaa_tnla_aa 
Website Link: https://bit.ly/3Tt75c7"
AA,27/10/2022 23:26,West,"The Rakhine State Government’s Legal Affairs Department is pleased to inform the public that cases can be reported to the Legal Affairs Department through its Telegram Account

October 27, 2022

The Legal Affairs Department of the Rakhine State Government has established offices in the field to provide timely and accurate information on legal issues, legal issues, and problems that arise in communities and townships, and to provide direct contact with clients. In order to ensure that the Legal Affairs Department operates optimally, it has set up offices and investigates cases in accordance with the relevant laws and regulations. In addition, a Telegram account called Justice For Arakan has been opened to provide legal services online.

However, the Telegram account called Justice For Arakan was closed in 2022. Since August (21), the Telegram account has been inactive for more than two months due to a technical glitch. In the meantime, the Department of Justice has opened a new Telegram account under the name Justice For Arakan on October (27), 2022, and complaints can be filed again as before.

Dear citizens, you can easily search for the Justice For Arakan account's Username: @justice4arakan on Telegram and directly contact the Department of Justice to file a complaint. You can also file a complaint via Email: arakan.jus@protonmail.com.

Justice Ministry
Rakhine State Government

Telegram Account: Justice For Arakan (Username: @justice4arakan )
Email: arakan.jus@protonmail.com 

VK: https://vk.com/justiceforarakanland 
Twitter: Justice For Arakan (Username: @justice4arakan )"
